Time,acc,acceleration,access,lat,long,id,status,r_status
00:02:44.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:45.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:46.992,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:47.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:48.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:49.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:50.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:51.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:52.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:53.997,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:55.002,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:55.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:56.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:57.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:58.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:59.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:01.003,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:01.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:02.992,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:03.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:04.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:05.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:07.003,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:07.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:08.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:09.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:10.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:11.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:13.000,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:13.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:14.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:15.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:16.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:17.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:18.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:19.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:20.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:21.997,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:22.998,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:24.003,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:24.997,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:25.996,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:26.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:27.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:28.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:30.002,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:30.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:31.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:32.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:33.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:34.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:36.002,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:36.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:37.992,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:38.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:39.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:40.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:42.001,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:42.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:43.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:44.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:45.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:46.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:48.001,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:48.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:49.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:50.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:51.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:52.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:54.002,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:54.996,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:55.992,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:56.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:03:57.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
